,revenues,ebit,employees,market_cap,outstanding_shares,stock_price,industry
45,76636500591.31194,24569373053.1264,72162.93913584041,653132313289.8733,26919519123.223614,24.42930872138595,technology
46,87195484932.93114,33658949410.38153,92259.73495099536,385673453603.7039,10083602823.595156,39.03558250253244,technology
47,84419570371.4609,41867685757.42727,124392.26626584434,975672211508.9668,38791557541.00482,24.38059178526256,technology
48,80493675358.95851,30042450883.456387,177867.16541059842,292834133656.2192,8136315669.732349,35.825576003184125,technology
49,89304343009.26794,47751937600.19989,53615.49031901423,595701031779.5638,27343131375.95682,22.5120756368654,technology
50,95389383190.83669,41053568229.13086,24557.216929269693,438487080863.06586,12704883992.999044,33.32270550111882,technology
51,74479158973.68394,38474594351.70962,161155.83932924463,631659987888.5073,3940859973.2406793,164.57313612273612,technology
52,71289927181.49051,43878463479.6552,113281.70062138762,662527906843.488,122958866825.3052,5.442852578241241,technology
53,65064522286.3552,18373194375.260098,50763.81428310576,459359685157.8447,30917476426.697155,14.835023479276993,technology
54,82761496339.85733,43160968146.04485,90819.51982192208,444088615214.4557,19438695384.72283,22.94020302134243,technology
55,96466560938.76376,46027069634.883,805.2985250907317,394094960163.2059,880104556922.8704,0.4333042898354818,technology
56,64164075301.92291,17525488830.536335,83916.40066328876,398813369617.8578,2660009073.2410607,151.01669815583705,technology
57,65726326296.98616,27256278852.53957,124531.86313130184,458909555388.2117,5090922253.370336,91.11767166680067,technology
58,88571417723.74895,42166770588.63774,36451.05507040382,786131570069.8899,284979631590.09827,2.718811461436649,technology
59,80307733022.75131,35505503423.25387,24675.20803606099,754972452989.6926,11425655994.34799,67.77446147113288,technology
60,84108124806.54596,44939065119.07099,23411.276650626714,1003678821578.1172,48509936027.08492,21.278347373150552,technology
61,96437727542.11864,42175976073.35728,23028.647969846446,491463507307.695,6155134431.09628,81.60497857948607,technology
62,70956819753.61281,26125168354.51084,138209.42642419157,231168138351.8768,7668195107.845866,30.355691485506075,technology
63,99088853249.71506,33211481153.29512,128972.38471108644,435918963324.0668,79411318436.0222,5.484596696941127,technology
64,98146870265.96828,46489651379.67889,6205.7087313631455,729343313691.494,135452605782.67313,5.397494668387014,technology
65,71199197344.6088,30157211308.457123,90032.7070930439,510571405075.8893,4415634787.587532,116.15939211024416,technology
66,68280590468.7842,26300208279.520603,112239.87884236687,683893894124.569,8149981118.051575,82.43886198952593,technology
67,98810749820.52728,52685682067.92906,38226.1550124154,636549647549.2487,245221126759.5908,2.618541325671967,technology
68,67909901055.62634,18444346531.338284,90961.93973548684,267561112311.62897,5572411970.389843,46.93206298132825,technology
69,83126395343.86644,39887292633.19126,106382.92018598173,388177686074.6107,7444504570.937892,51.521470533437416,technology
70,70508780843.11693,20395553708.06224,65864.44562961638,462774441419.6017,5835983417.758144,81.15325500642706,technology
71,69369013970.30582,18231893113.92689,38900.9421424862,144939563035.52222,1355591741.5480242,109.84168562587575,technology
72,89961058001.08673,35705390124.531456,116428.64467042954,337309409069.6024,3704620413.780952,89.56298297652862,
73,80330821869.96475,35047697185.57466,106560.94504522381,510563469437.7684,1756564689.8764272,296.3343669380967,technology
74,89262263103.55501,67696163905.84658,91225.48573835558,818536068171.4828,68027348730.57786,11.887971824491528,technology
75,66033015038.97032,28011688139.624542,81498.33740499079,308521415780.8459,1585998093.5617335,197.13960131589323,technology
76,101727771125.50194,41535091384.74499,116264.76841716106,1060635540941.8136,53431011933.02688,19.573245680904297,technology
77,79836582117.14354,44200301111.78867,111100.91301968318,934650438168.3834,9864976526.157175,92.37399937784748,technology
78,76007532604.18777,41040049234.219925,12392.058771782042,413707837581.26416,16335860731.8632,25.295601398673654,technology
79,79848436880.06918,42938724887.41718,73139.54182490449,417076477027.456,1299975444.9959462,310.7797730700164,technology
80,72837733834.55498,28350441958.18559,188335.4205065144,662975718051.0625,169547007466.3131,3.955500873364802,technology
81,81874856575.96085,33942362142.38796,40802.91616482079,347982898721.1405,5479165415.395619,63.75434668544572,technology
82,101361593582.4301,50803317083.22168,64926.10534987173,335497342063.3211,4610935579.579435,72.32502823235698,technology
83,74830482401.47862,32651459624.376766,207977.88727995747,188997580596.69543,7029382088.270124,26.88736119393496,technology
84,83527545259.30244,35246943793.086235,121215.3592010444,653498553088.8207,3610989509.249608,182.9952974352001,technology
85,78651132323.36577,27851737732.159504,51538.08240432556,425187138432.44165,45502355691.21269,9.63987161120644,technology
86,96746894408.15408,38593743029.45596,117934.18759726358,287637040791.9952,7391768347.52234,37.91298555281389,technology
87,95376739493.39037,35277756554.41084,224198.60957945336,733533156784.4989,9646698839.178694,75.12369912125544,technology
88,99962603261.07922,43806059255.1753,356636.41494758695,919492998765.1216,7862868153.590238,116.07186266435548,technology
89,77858409381.41402,34614640546.434265,154400.4530611855,454603003095.4736,14150811411.652,31.21434136081825,technology
90,60633109173.97781,35584122250.622086,90620.10071268496,592528540484.6266,17002051157.006042,35.14633906549268,technology
91,83320413792.11183,32950116155.333656,123884.55538184982,651986363543.3823,53023749278.39939,12.116853041162896,technology
92,77068532526.31883,24207237008.77165,159267.55462323458,217034239559.99176,1078032946.477038,204.8729200829101,technology
93,83519754487.00958,25732459616.97731,62845.3804917997,415567234167.72046,10576723562.931473,39.57408120089842,technology
94,68333024732.57393,28125457117.635868,37927.40613186318,346651197254.1408,5078756238.34616,67.26889953372681,technology
95,91364622997.4679,41195535509.35786,9567.162936042372,635771224557.5459,35643647421.84267,18.348617026892832,technology
96,68596646618.42632,28928310133.278805,29282.59564105228,531352179968.6267,3908911960.470194,135.7429761457854,technology
97,78711036852.15971,30453922123.363445,135604.9845919887,372564595267.3632,3235148263.2331414,117.4845540604136,technology
98,96700338116.96404,52334882366.64197,98463.01546557492,1255313354429.728,34928270304.125175,36.630955426235786,technology
99,89077059896.44421,47005561656.90292,141658.0281936324,672351717701.9056,43366243399.0965,15.44130287734392,technology
100,98629868910.04764,40599170236.64025,136443.97527336137,341707690164.8112,5796790112.439278,60.36534708548388,technology
101,69153212128.24013,34134260090.50947,25765.98234309637,582102704667.3469,541570023215.5209,1.0816044611371185,technology
102,101320467971.46486,52682402517.601616,35593.94962527573,757426951280.1473,53971295709.36566,13.813466099923234,technology
103,74625461593.38124,23965331052.89195,64241.02065757947,172922672395.72012,1313344863.1959078,131.84015640972086,technology
104,98329526159.1114,52246507044.42598,52142.858390844405,522828423434.4277,11599512663.786,44.953765421620325,technology
105,87923308476.3273,27004750677.71426,10813.929888772784,282952211895.6413,6648425381.0694685,42.11598269300495,technology
106,93023888796.5358,17178207734.066397,51475.11475068663,261815698845.95187,1525495928.9329505,170.06145683760442,technology
107,77789580116.04091,30329587467.45223,104528.82107328222,456027590502.8625,10973631916.953953,40.28832226718831,technology
108,80791765578.11528,30668567654.34679,124303.22346643094,627369473080.0736,9710723414.886414,64.47713173699108,technology
109,72151605624.49213,31049797041.14988,114022.5341655625,630014948908.4901,4008893957.034791,156.0204263414494,technology
110,67000388045.44466,34650512259.429794,72544.99856992062,958235374629.6202,9198099858.68282,103.48382745497058,technology
111,67729707584.206535,33544577088.185585,30916.25337166658,330502398434.0003,9101052612.642157,36.46074272942421,technology
112,84018226867.4241,31601807006.56389,27352.406394025653,333454452481.6573,10128240628.894575,33.18244007416581,technology
113,82520317982.70131,33821985581.19005,146684.67103780428,536230753380.1329,11333025197.070604,46.567518610257785,technology
114,78349177694.17966,35663971597.62655,80581.35278878464,542147620567.4293,11460090464.771282,47.94104550128328,technology
115,67278369837.13286,23644693930.399944,104209.81747838957,364660102055.39417,2463610415.3886414,150.83027116439104,technology
116,99870757654.36938,31639329193.8506,94103.96922471942,560433696335.2394,3923341007.458836,142.96122940129442,technology
117,80871117568.37164,37315339949.10899,107290.32564811553,450440867370.5446,45024558568.9409,10.314082951832454,technology
118,88664265420.40283,23229676087.237503,148217.1825207637,476585935475.0407,3204535106.546899,147.39854236851332,technology
119,89130783889.36804,40548130259.84662,28890.16039148312,480682137768.7865,4969708090.688041,95.15340345867818,technology
120,85481851897.73145,44770133029.88653,146261.19100923982,647711641054.9667,141716306326.16263,4.774751164963209,technology
121,71265804442.47499,35205810373.51113,91525.67634216815,701255883720.0012,13346891618.420595,53.86438630023213,technology
122,92691758147.59592,46843094057.85549,213045.3276846043,576839433948.8356,7724288219.748464,78.58152036140052,technology
123,66221481408.852806,28377326593.220448,40105.60917675224,350557947787.0401,123209306146.00984,2.7892651940827053,technology
124,98461566739.08348,42272443600.93744,92140.03218482934,550412401124.885,12806972778.756826,43.6758908096843,technology
125,95899573129.37956,50228192361.49926,108166.96374069613,1008517595318.4862,8511170457.254623,118.05200293207328,technology
126,90624940483.27316,43434387395.29993,79923.30020127821,947193260651.9244,5545749788.387232,171.31672325117296,technology
127,92064274899.97871,34618804139.24144,77197.08311016954,670531857160.3538,3657265270.166184,181.28748192509585,technology
128,100679151110.91306,39516144385.28211,134634.6327576758,608085127381.9186,6360792503.169123,95.5201802425291,technology
129,72604913409.77072,43825061333.16688,92094.78077477532,683794438965.0406,41061208889.62808,16.566646480641108,technology
130,83482798430.02728,28741059798.587345,52529.14416022008,546122575009.7932,4020379660.340056,136.46235241696235,technology
131,82358970493.80597,35740225645.988106,20799.155139328148,424818873462.4177,2752224438.152109,149.15720117594543,technology
132,94385288774.5204,48435627170.87162,65076.09488134835,589100970886.1469,70243663908.68446,8.30520927514404,technology
133,80082338680.4763,45083324055.72543,70642.07161554918,557700566821.1262,12346993516.36484,45.82696134149835,technology
134,86951074345.94176,29829609131.875465,199767.41757290057,188006349839.3921,4805452498.234949,39.83906563509746,technology
135,78555758036.44464,45978443024.3038,48482.28390669513,452794919067.9576,5003930638.793607,90.30522244179951,technology
136,93840133161.26505,56503917999.1911,-89173.56989641412,1134117742317.804,1692844782969.2104,0.6667544681593492,technology
137,87621970492.68707,29985833807.85264,191392.9710881001,772663565791.7615,23338169414.46432,32.832294804287024,technology
138,77923292366.72011,36041449514.23147,114883.07295653144,863117029738.8503,13565488086.746244,64.07335708673106,technology
139,99480352093.79887,41429881648.56777,264995.76647486776,344891738417.81854,2554689884.178984,134.42061132491256,technology
140,73790380434.00494,37652041370.06872,60878.885944742025,599350992587.5032,484416197128.5025,1.2183462078708769,technology
141,86531196832.50713,52180127259.41668,99550.86105252874,1376334186140.017,11766763687.408386,119.08298230788772,technology
142,81223144099.09126,47246008270.403,29280.64913865166,970840384060.0408,6143098507.218619,160.36302904603644,technology
143,83496344331.24408,36531212687.11317,131601.6156528477,390309178248.6746,6416439839.335038,60.50841016152012,technology
144,75252614218.16327,38567565213.5687,265678.6531457516,1000094459644.188,10961930264.33113,91.61543376250796,technology
145,101989731002.29137,49080844233.0995,37672.83258092445,889168818607.6315,48499680241.18118,18.013500236935958,technology
146,96244775635.14592,61272171958.91556,35393.44632731994,461985016011.1752,2575695670.6268744,177.2064524426771,technology
147,70725204089.03519,25615621021.923,162298.25737226527,383052465854.1876,12176176002.078209,31.59615442292037,technology
148,73794188220.32895,40634290390.71168,83658.18321803462,443054942626.905,4422069812.146548,98.25904554818808,technology
149,73641003997.9831,32350398529.109825,116923.69803357546,464973295008.9778,11843733687.455124,38.58950206435998,technology
150,100394874391.989,54213944629.52335,85534.35996667214,609143936605.2102,7160752223.707009,84.55983362282782,technology
151,81719633231.21701,31094438584.1464,121779.6246091328,280306726566.65063,20641564734.01889,13.446109913333164,technology
152,61784268507.521614,28581003086.55107,29675.087628036083,418538570374.0454,7016231358.18011,59.05596329611003,technology
153,71963389056.5182,16462893953.343843,138562.10385119886,419874156731.5029,6490517278.961171,64.39294778697307,technology
154,93324023321.41731,27311317077.196712,75263.91181970935,364751537763.6636,9377288441.820002,39.098860098744574,technology
155,89130465635.06592,43360820547.199135,32785.64033660096,1385042044766.5942,15131638552.02418,90.55208035731737,technology
156,66801513013.28928,38706840228.2121,2685.801314431684,451724901441.64667,8918498647.009016,50.63856925212255,technology
157,77144337563.06947,32319968232.85373,151631.01316510403,695813938630.6455,14993274511.222296,46.822740818809535,technology
158,66483536366.84641,35722921297.316605,83663.41534125581,503822881806.2538,1660107286.3866706,298.04985250295056,technology
159,61957562578.5181,22301882755.86027,31062.16179146076,312893176378.69806,3238719208.059571,95.254754655596,technology
160,74331054025.05971,33339593590.03491,10442.762619724324,664715687289.7273,6276986011.11141,105.24924496594996,technology
161,88569062921.17033,43203984166.78439,82617.16614804024,566059592142.9679,8258385397.364888,70.60852680263717,technology
162,91374356970.48576,43032771665.54403,87476.74485877895,326695541572.5271,2769252795.511201,121.8484362168984,technology
163,76183969412.21404,32735732444.48945,84179.21145969842,670743037552.8629,4286158582.365997,159.2361099401756,technology
164,77527818690.62958,24167591850.24279,21689.351052942344,413134927668.4222,2725601026.7902155,152.45423213760148,technology
165,90195171927.78726,52683146282.32936,96541.14336878197,1192675364788.766,52994965868.43605,22.924100053479112,technology
166,83295923428.52328,30483983700.73648,195023.7822949339,329171406163.8942,3208352317.4343925,104.060191457765,technology
167,66980818244.52992,36424753483.55616,128988.93857064402,295579807594.10645,8131017528.960242,35.366171487866104,technology
168,67068984696.02392,29375811057.2155,114973.70830687736,615919223491.6593,8663201736.039991,72.83073002263387,technology
169,84071867186.75626,33901163619.428413,165524.5841297652,684869342997.2798,31199476278.73163,22.531836761733462,technology
170,81573171729.8726,27616169206.986366,11405.74177157441,636095170846.8806,5459794358.392395,114.05758192370136,technology
171,66544261829.86649,26428894281.63509,22622.15104919996,575181036039.8367,11451359860.538914,49.75643108309168,technology
172,67631575274.53361,38804210273.15183,82458.57160951967,556631529976.7345,14219779800.292604,38.99078015846389,technology
173,64187914026.833786,34604915835.1007,90902.12128623073,862520417899.9094,56424280617.119545,15.068784355512824,technology
174,93941666255.87166,33062465000.065533,4799.04003271339,161969786915.55948,3070957885.923148,52.699408063285865,technology
175,83986099496.80763,36867170623.1495,182407.87871743768,463025332887.3818,10156856422.331238,46.04077372110965,technology
176,82078230896.5086,35660948731.62373,112185.10034328126,328692898686.05884,7165433084.716338,45.99906700476888,technology
177,79116145592.29964,44287052231.21451,53206.0248107959,1086367955141.507,32716339108.05908,33.58279606331631,technology
178,82694060897.63863,43261950827.40345,47473.561776769406,993936856186.7726,28079883687.35725,36.91485844452586,technology
179,97616422754.32214,43274015390.23602,2590.014211293869,447432532827.114,2336682516.061168,195.8550401672216,technology
180,81448675015.33195,23136594969.789387,109920.3366738182,414110358932.831,10465264676.51037,39.41439067613844,technology
181,100847756428.83356,19195762213.96832,73408.31902971247,383993337028.6206,16706398401.302326,22.84580264459056,technology
182,80698610304.21771,32957961306.96502,35824.127623521854,973720401628.0264,18704846323.167747,51.00204379270048,technology
183,93350788796.19162,30923185653.030087,30929.96716426032,358577534881.5581,5652697488.579082,62.792975222619134,technology
184,84670295109.61302,39425286786.93205,82736.23573673335,383320206023.2481,5981134955.656828,63.56907268808966,technology
185,72667350316.78763,38641437789.21931,45307.28606920235,536757019396.60187,27719172499.27081,19.4595699258927,technology
186,62459261432.081245,40002081693.11964,68257.96071689542,884915724995.8911,4754419201.526495,190.5483873588277,technology
187,86411770661.89604,45618333774.446014,53859.96600336485,387305827320.6841,4305039663.016622,89.81880726522293,technology
188,85843131144.54967,45633789806.6672,145244.8817547085,596109812942.9943,2207473750.560425,262.140851345278,technology
189,96066642108.8862,43174804011.20338,100789.41647114774,1033050610384.8668,37616396202.20173,27.843347192935617,technology
190,73552766568.81847,27212656211.713573,98049.44340662372,450903670768.6908,3482581223.207303,128.5800831557619,technology
191,81604348370.44066,27895926525.87806,67438.07133781258,704689668597.0032,6500566244.536975,111.19972497234144,technology
192,92982298132.39148,32877300874.189587,123606.81718173824,402245823126.79736,13934266654.800608,29.68301139739945,technology
193,81044552218.22781,38651893581.19348,114264.07235275811,1167356708020.2358,42180818550.66375,28.10332070860291,technology
194,83337744859.12283,49276318225.727165,206209.9632812928,753029500897.4738,46833922267.17158,16.123782717435564,technology
195,83719815758.03577,50880925534.774345,199736.9801106758,1083177552522.958,14364035164.956284,75.17868508197617,technology
196,64669748955.55678,28934021322.3097,71059.07851776459,220147006313.6712,3188335200.950119,71.40467522329355,technology
197,80025343766.29634,32265218697.76114,31501.357722569566,774263612044.4878,6284620472.748957,123.93443844963949,technology
198,97383091976.1006,36157310012.90289,113386.03748274935,397469945919.465,14690905094.401093,27.217148185637047,technology
199,98593460343.51158,50963370635.81805,93223.75588511609,722947366016.4913,14478731567.699677,49.56118743571159,technology
200,81331298138.60521,39687270524.77409,48438.24792186903,368750277804.5306,6501033112.333821,55.72319909845754,technology
201,72242173997.43588,37299076544.61543,23462.614486599847,642561048629.4508,11390655896.534887,55.81150873598712,technology
202,91520987788.5386,30702557287.7474,158579.60056794304,601213687423.1597,9536903585.48618,62.4426192344156,technology
203,91098037785.95572,48403469802.87207,77746.15835437023,488450045209.004,6983972361.177503,70.00691980316415,technology
204,96222358437.2485,45870413764.76804,162577.0117723355,591397109178.1276,9040054040.175829,62.91138025882571,technology
205,68484245794.01143,33764329928.659,116422.43475119089,665286471525.8488,20044099896.413204,32.82808299417035,technology
206,101401155210.5826,41530683649.727455,23590.13302627976,947700210067.6814,32456917311.82384,28.766109021860995,technology
207,88679487584.05145,33741385927.716297,21227.280642826063,297694390044.3133,2212650157.025843,132.37117814558238,technology
208,75561564154.67229,42644884463.30272,131345.76733392483,1158223319597.191,52106503979.86077,22.74773956529836,technology
209,77028305664.18651,40090697080.60034,126478.85963003866,556393292880.253,5684508049.851128,97.03297651238852,technology
210,101823769416.8755,39802070881.52296,111074.23783910024,642506042465.6516,4868385925.587688,134.67397574725936,technology
211,68890334619.58351,46455456889.22634,26902.68604813648,583332055878.9473,39374068784.73995,14.620723572907028,technology
212,92167818589.49858,38849321132.071495,99813.10678386255,615952991295.2157,2797425823.212371,222.9452393214791,technology
213,65970240586.80654,33304026442.80703,204115.2428487888,201182043194.5205,2818602721.99823,70.85899599511282,technology
214,82914612476.95099,36926806655.8453,118572.60821857788,284671242098.61774,7427556726.579129,37.25660120275742,technology
215,79922620226.9429,41864756376.58589,24346.603244156377,708167283818.3036,11836944347.760696,58.27292172192,technology
216,72527459718.17914,26219820109.02751,67358.58796207109,475196094389.90735,4246455286.003102,111.5682811391788,technology
217,72954387117.40343,38072881178.11665,138362.15372713815,257774654834.91333,3127257411.907,81.84853318265475,technology
218,82918599439.17105,29868855708.184525,120483.07153120724,697202427476.6672,54230488978.39968,13.09219720866623,technology
219,75265559365.587,36531687974.67402,96214.64542519924,759818065337.6958,19826350247.202087,38.44340304497911,technology
220,100607650331.93564,50385267182.86148,62841.24517286425,890753057512.6323,3455396240.514652,257.46919895389,technology
221,100791140078.9596,54098498044.12834,167081.82506199466,1116771624882.9016,41342647616.36153,27.982393838812992,technology
222,95055643335.31052,27709764480.368057,183976.6937608248,370363907184.7277,6070522726.464325,61.40332236070329,technology
223,63465000427.89846,24123630504.263275,18672.83433995512,273406504863.62372,8304793427.582008,31.769191063335622,technology
224,91872333004.08574,44598759191.08105,78329.2514811638,1098796904619.3925,22708566480.94313,47.0840301455507,technology
225,93996575859.39136,41690579463.367805,81179.33370046288,982166240472.1952,14229233439.045408,68.04657385844035,technology
226,77878889087.16707,38036945219.285385,1061.5817473743627,354120987589.1448,4578358372.439827,78.53906077614427,technology
227,82826920630.98198,41735939215.13787,147389.39130685147,521909454769.4847,6549356125.242471,80.13629385381547,technology
228,64830839750.94754,33224837920.158333,103548.38327629725,437427933915.3981,7006139083.549546,63.73775717722494,technology
229,84561601677.5833,29206012396.863453,327542.1114065887,393972254998.607,5248969576.939947,75.65859437177282,technology
230,66660623117.819176,29138796991.091423,39575.592971632,378368116276.3989,1909655987.851589,199.9989790949697,technology
231,80492184706.33797,27208945873.40432,142916.5425943194,518721408663.1348,2721240242.1851835,188.7370573075928,technology
232,66220217292.86826,28981066797.058804,118320.6961310743,549874213156.655,1988179839.9651349,271.3467332887338,technology
233,95436564356.7348,52473525067.7531,185428.6253372524,537006253765.5952,2637383594.501873,207.48850025958737,technology
234,97307199953.37135,33824674838.397068,99897.25546089956,193647715780.33865,6882752577.35623,27.736498372649507,technology
235,76547294878.8955,38540180741.31628,93592.04407889064,324160175385.7521,7077067176.562256,45.5632523471048,technology
236,71438433561.83916,36761640019.87395,163602.6070026047,558936371836.194,22832538181.01013,24.149665332296006,technology
237,86968325458.56593,41202008790.17324,299712.1540040336,578066044911.075,5709367851.511767,102.08888825523326,technology
238,71319620819.38077,35986804346.893684,47966.72704503159,616532614370.8049,16746782334.768856,37.50260456115334,technology
239,74608762823.7625,19147619515.65515,5981.005335713719,318980593044.9952,1711528656.7974217,187.3393299920273,technology
240,79912668399.41512,33692196936.77937,118890.95086053498,663659999643.1947,3949316648.379777,167.25308295448332,technology
241,86019983054.43994,40488086971.50098,115746.14625693954,397540023350.20026,59220471840.37143,6.584006511068251,technology
242,69368942649.78079,26092911878.193325,110721.16777494016,432885847972.231,3140134674.4074225,140.4200452888624,technology
243,93942890720.7707,50648623590.50674,252532.87729525825,1124655885412.8745,36686844829.94126,30.764457225194967,technology
244,99021059817.4309,30718876009.14054,84717.90613033414,634044426708.8696,71495568056.75948,9.123482857950956,technology
245,102585104226.95044,38476978554.06635,61173.38386377356,481654937845.8294,14191489447.055416,33.98511899247091,technology
246,90055733700.76546,35455104884.25208,59112.57035026776,716114559104.1299,9439789401.925022,76.70787517204342,technology
247,63566153326.907234,26969473634.498093,59167.31873996207,581108481774.3118,17597660941.461563,33.083840572926576,technology
248,80552353865.1092,45506079729.549286,70205.77028786979,554685468266.676,2841453020.642189,194.79574603042505,technology
249,14561120485.832245,1201550123.065482,131382.9068214391,18923160804.76708,315381169.2439028,59.8800300583934,technology
250,25086513321.283325,829126498.6326978,425256.9231005825,8021229080.838805,58532837.16428431,139.13876178798836,finance
251,18667911223.221565,1483489027.5118043,20969.8568127484,40755368947.855736,378086797.5715689,107.09887894994908,finance
252,23534140826.081345,1097977523.1877775,7607.10122887052,26614943374.64942,456239323.6329232,57.26172941245164,finance
253,27269268435.43694,405746832.19013256,385023.27818093175,6708448624.100149,262168550.3993272,26.15369686453316,finance
254,11009382978.762066,313879467.10118514,169432.50893156463,8043604485.340833,1417203119.531427,5.66420489377231,finance
255,15658015544.928743,868885626.5139804,299332.270872663,11149783560.367647,227018136.00683445,48.057696060084815,finance
256,26553973055.228794,2382031448.86027,199979.42095955776,30789254880.34516,228277924.4913065,130.9548503508077,finance
257,21489115278.98941,29173695.88855505,306510.85994395433,433768305.7887553,11070120.213869192,39.758616093319525,finance
258,15491926070.52209,1194986283.7331698,99685.92998219637,16280224748.87658,117192664.08799492,141.5256189768437,finance
259,18227831679.00063,1447965570.8649323,245520.72278132252,15023945942.262352,929652928.1141548,16.194661038871086,finance
260,24760407141.32702,1240203456.3930094,113762.35147127892,26034947727.12066,254018295.4844574,102.73762332317033,finance
261,17809303430.635715,370235956.4620174,186755.93436146752,7408028731.737205,499114676.6574938,14.683369832785583,finance
